Date,Judge,Url
24-08-2021,HON'BLE MR. JUSTICE L. NAGESWARA RAO,https://main.sci.gov.in/supremecourt/2019/454/454_2019_35_1501_29507_Judgement_24-Aug-2021.pdf
09-12-2021,HON'BLE MR. JUSTICE B.R. GAVAI,https://main.sci.gov.in/supremecourt/2018/535/535_2018_5_1501_31902_Judgement_09-Dec-2021.pdf
19-01-2021,HON'BLE MR. JUSTICE K.M. JOSEPH,https://main.sci.gov.in/supremecourt/2020/583/583_2020_33_1501_25559_Judgement_19-Jan-2021.pdf
08-02-2021,HON'BLE MR. JUSTICE L. NAGESWARA RAO,https://main.sci.gov.in/supremecourt/2021/740/740_2021_38_1501_25988_Judgement_08-Feb-2021.pdf
29-01-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/746/746_2021_36_21_25733_Judgement_29-Jan-2021.pdf
11-02-2021,HON'BLE MR. JUSTICE M.R. SHAH,https://main.sci.gov.in/supremecourt/2021/809/809_2021_36_1501_26015_Judgement_11-Feb-2021.pdf
07-05-2021,HON'BLE MR. JUSTICE ANIRUDDHA BOSE,https://main.sci.gov.in/supremecourt/2021/892/892_2021_34_1502_27998_Judgement_07-May-2021.pdf
28-10-2021,HON'BLE MR. JUSTICE A.S. BOPANNA,https://main.sci.gov.in/supremecourt/2020/920/920_2020_13_1501_31011_Judgement_28-Oct-2021.pdf
07-09-2021,HON'BLE MR. JUSTICE M.R. SHAH,https://main.sci.gov.in/supremecourt/2019/928/928_2019_13_1501_29807_Judgement_07-Sep-2021.pdf
20-09-2021,HON'BLE MR. JUSTICE AJAY RASTOGI,https://main.sci.gov.in/supremecourt/2010/976/976_2010_44_1502_30173_Judgement_20-Sep-2021.pdf
20-09-2021,HON'BLE MR. JUSTICE AJAY RASTOGI,https://main.sci.gov.in/supremecourt/2010/976/976_2010_14_101_29822_Judgement_07-Sep-2021.pdf
30-09-2021,HON'BLE MR. JUSTICE AJAY RASTOGI,https://main.sci.gov.in/supremecourt/2018/1141/1141_2018_44_10_30486_Judgement_30-Sep-2021.pdf
06-07-2021,HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,https://main.sci.gov.in/supremecourt/2017/1154/1154_2017_37_22_28282_Judgement_06-Jul-2021.pdf
22-02-2021,HON'BLE MS. JUSTICE INDU MALHOTRA,https://main.sci.gov.in/supremecourt/2021/1181/1181_2021_42_25_26361_Judgement_22-Feb-2021.pdf
12-03-2021,HON'BLE MR. JUSTICE L. NAGESWARA RAO,https://main.sci.gov.in/supremecourt/2016/1203/1203_2016_37_1501_26892_Judgement_12-Mar-2021.pdf
18-11-2021,HON'BLE MR. JUSTICE AJAY RASTOGI,https://main.sci.gov.in/supremecourt/2021/1232/1232_2021_44_1501_31403_Judgement_18-Nov-2021.pdf
18-11-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2020/1233/1233_2020_34_1502_31393_Judgement_18-Nov-2021.pdf
18-11-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt_vernacular/2020/1233/1233_2020_34_1502_31393_Judgement_18-Nov-2021_HIN.pdf
10-03-2021,HON'BLE MR. JUSTICE AJAY RASTOGI,https://main.sci.gov.in/supremecourt/2020/1282/1282_2020_42_10_26857_Judgement_10-Mar-2021.pdf
22-02-2021,HON'BLE MR. JUSTICE ASHOK BHUSHAN,https://main.sci.gov.in/supremecourt/2019/1316/1316_2019_37_1503_26355_Judgement_22-Feb-2021.pdf
22-02-2021,HON'BLE MR. JUSTICE ASHOK BHUSHAN,https://main.sci.gov.in/supremecourt_vernacular/2019/1316/1316_2019_37_1503_26355_Judgement_22-Feb-2021_TAM.pdf
22-10-2021,HON'BLE MR. JUSTICE HEMANT GUPTA,https://main.sci.gov.in/supremecourt/2018/1339/1339_2018_41_1501_30814_Judgement_22-Oct-2021.pdf
22-10-2021,HON'BLE MR. JUSTICE HEMANT GUPTA,https://main.sci.gov.in/supremecourt_vernacular/2018/1339/1339_2018_41_1501_30814_Judgement_22-Oct-2021_MAL.pdf
07-07-2021,HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,https://main.sci.gov.in/supremecourt/2021/1384/1384_2021_37_101_28357_Judgement_07-Jul-2021.pdf
24-02-2021,HON'BLE MR. JUSTICE L. NAGESWARA RAO,https://main.sci.gov.in/supremecourt/2018/1406/1406_2018_31_1501_26545_Judgement_24-Feb-2021.pdf
26-10-2021,HON'BLE MR. JUSTICE M.R. SHAH,https://main.sci.gov.in/supremecourt/2020/1439/1439_2020_13_1503_30924_Judgement_26-Oct-2021.pdf
26-03-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/1500/1500_2021_35_1501_27232_Judgement_26-Mar-2021.pdf
10-03-2021,HON'BLE MS. JUSTICE INDU MALHOTRA,https://main.sci.gov.in/supremecourt/2021/1579/1579_2021_42_1501_26857_Judgement_10-Mar-2021.pdf
10-03-2021,HON'BLE MS. JUSTICE INDU MALHOTRA,https://main.sci.gov.in/supremecourt_vernacular/2021/1579/1579_2021_42_1501_26857_Judgement_10-Mar-2021_MAL.pdf
22-11-2021,HON'BLE MRS. JUSTICE B.V. NAGARATHNA,https://main.sci.gov.in/supremecourt/2018/1632/1632_2018_43_42_31441_Judgement_22-Nov-2021.pdf
12-02-2021,HON'BLE MR. JUSTICE M.R. SHAH,https://main.sci.gov.in/supremecourt/2007/1677/1677_2007_36_1501_26135_Judgement_12-Feb-2021.pdf
20-04-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/1775/1775_2021_36_1502_27668_Judgement_20-Apr-2021.pdf
26-02-2021,nan,https://main.sci.gov.in/supremecourt/2021/1783/1783_2021_36_16_26505_Order_26-Feb-2021.pdf
16-07-2021,HON'BLE MS. JUSTICE INDIRA BANERJEE,https://main.sci.gov.in/supremecourt/2021/1845/1845_2021_40_1501_28528_Judgement_16-Jul-2021.pdf
29-09-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2020/1855/1855_2020_2_1501_30469_Judgement_29-Sep-2021.pdf
29-09-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt_vernacular/2020/1855/1855_2020_2_1501_30469_Judgement_29-Sep-2021_HIN.pdf
20-07-2021,HON'BLE MS. JUSTICE INDIRA BANERJEE,https://main.sci.gov.in/supremecourt/2021/1983/1983_2021_40_2_28636_Judgement_20-Jul-2021.pdf
26-02-2021,HON'BLE MR. JUSTICE A.M. KHANWILKAR,https://main.sci.gov.in/supremecourt/2021/2095/2095_2021_35_8_26504_Order_26-Feb-2021.pdf
13-08-2021,HON'BLE MR. JUSTICE HEMANT GUPTA,https://main.sci.gov.in/supremecourt/2007/2113/2113_2007_42_1501_29277_Judgement_13-Aug-2021.pdf
06-10-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2009/2177/2177_2009_2_1501_30674_Judgement_06-Oct-2021.pdf
20-09-2021,HON'BLE MR. JUSTICE SANJIV KHANNA,https://main.sci.gov.in/supremecourt/2019/2183/2183_2019_47_2_30176_Judgement_20-Sep-2021.pdf
03-12-2021,HON'BLE MR. JUSTICE ABHAY S. OKA,https://main.sci.gov.in/supremecourt/2020/2201/2201_2020_44_43_31807_Judgement_03-Dec-2021.pdf
13-09-2021,HON'BLE MR. JUSTICE M.R. SHAH,https://main.sci.gov.in/supremecourt/2020/2211/2211_2020_42_1502_29965_Judgement_13-Sep-2021.pdf
14-12-2021,HON'BLE MR. JUSTICE B.R. GAVAI,https://main.sci.gov.in/supremecourt/2018/2266/2266_2018_5_1501_32144_Judgement_14-Dec-2021.pdf
18-11-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/2286/2286_2021_32_1501_31537_Judgement_18-Nov-2021.pdf
10-08-2021,HON'BLE MR. JUSTICE B.R. GAVAI,https://main.sci.gov.in/supremecourt/2019/2347/2347_2019_32_1503_29152_Judgement_10-Aug-2021.pdf
04-05-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2019/2356/2356_2019_35_1501_27914_Judgement_04-May-2021.pdf
02-09-2021,HON'BLE MR. JUSTICE L. NAGESWARA RAO,https://main.sci.gov.in/supremecourt/2009/2357/2357_2009_35_1501_29719_Judgement_02-Sep-2021.pdf
27-09-2021,HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,https://main.sci.gov.in/supremecourt/2020/2390/2390_2020_36_1501_30326_Judgement_27-Sep-2021.pdf
27-09-2021,HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,https://main.sci.gov.in/supremecourt_vernacular/2020/2390/2390_2020_36_1501_30326_Judgement_27-Sep-2021_HIN.pdf
30-09-2021,HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,https://main.sci.gov.in/supremecourt/2009/2398/2398_2009_6_105_30466_Order_30-Sep-2021.pdf
17-02-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2010/2441/2441_2010_32_103_26191_Judgement_17-Feb-2021.pdf
17-12-2021,HON'BLE MR. JUSTICE B.R. GAVAI,https://main.sci.gov.in/supremecourt/2019/2520/2520_2019_35_1501_32207_Judgement_17-Dec-2021.pdf
08-11-2021,HON'BLE MS. JUSTICE HIMA KOHLI,https://main.sci.gov.in/supremecourt/2010/2567/2567_2010_31_1502_31178_Judgement_08-Nov-2021.pdf
17-03-2021,HON'BLE MR. JUSTICE A.M. KHANWILKAR,https://main.sci.gov.in/supremecourt/2021/2645/2645_2021_35_1501_27021_Judgement_17-Mar-2021.pdf
15-04-2021,HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,https://main.sci.gov.in/supremecourt/2021/2660/2660_2021_33_1502_27520_Judgement_15-Apr-2021.pdf
30-09-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/2662/2662_2021_2_1501_30568_Judgement_30-Sep-2021.pdf
27-09-2021,HON'BLE MR. JUSTICE AJAY RASTOGI,https://main.sci.gov.in/supremecourt/2021/2669/2669_2021_44_8_30334_Judgement_27-Sep-2021.pdf
13-09-2021,HON'BLE MR. JUSTICE M.R. SHAH,https://main.sci.gov.in/supremecourt/2020/2723/2723_2020_42_1503_29965_Judgement_13-Sep-2021.pdf
20-04-2021,HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,https://main.sci.gov.in/supremecourt/2021/2818/2818_2021_33_1501_27661_Judgement_20-Apr-2021.pdf
22-01-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2018/2832/2832_2018_31_1501_25555_Judgement_22-Jan-2021.pdf
11-02-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/2865/2865_2021_36_6_26115_Judgement_11-Feb-2021.pdf
23-11-2021,HON'BLE MR. JUSTICE L. NAGESWARA RAO,https://main.sci.gov.in/supremecourt/2018/2957/2957_2018_5_1501_31474_Judgement_23-Nov-2021.pdf
29-11-2021,HON'BLE MRS. JUSTICE B.V. NAGARATHNA,https://main.sci.gov.in/supremecourt/1995/2997/2997_1995_43_1501_31633_Judgement_29-Nov-2021.pdf
29-11-2021,HON'BLE MRS. JUSTICE B.V. NAGARATHNA,https://main.sci.gov.in/supremecourt/1995/2997/2997_1995_31_1501_26161_Judgement_15-Feb-2021.pdf
05-08-2021,nan,https://main.sci.gov.in/supremecourt/2017/3004/3004_2017_42_2_29029_Order_05-Aug-2021.pdf
26-07-2021,HON'BLE MR. JUSTICE L. NAGESWARA RAO,https://main.sci.gov.in/supremecourt/2019/3018/3018_2019_36_1502_28758_Judgement_26-Jul-2021.pdf
06-09-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2020/3021/3021_2020_34_27_29845_Judgement_06-Sep-2021.pdf
08-10-2021,HON'BLE MR. JUSTICE HRISHIKESH ROY,https://main.sci.gov.in/supremecourt/2009/3082/3082_2009_42_1501_30701_Judgement_08-Oct-2021.pdf
12-02-2021,HON'BLE MS. JUSTICE INDIRA BANERJEE,https://main.sci.gov.in/supremecourt/2021/3111/3111_2021_44_28_26143_Judgement_12-Feb-2021.pdf
04-10-2021,HON'BLE MR. JUSTICE S. RAVINDRA BHAT,https://main.sci.gov.in/supremecourt/2018/3149/3149_2018_32_27_30535_Judgement_04-Oct-2021.pdf
29-10-2021,HON'BLE MR. JUSTICE HEMANT GUPTA,https://main.sci.gov.in/supremecourt/2017/3246/3246_2017_41_1_30980_Judgement_29-Oct-2021.pdf
02-09-2021,HON'BLE MS. JUSTICE INDIRA BANERJEE,https://main.sci.gov.in/supremecourt/2021/3275/3275_2021_38_3_29755_Judgement_02-Sep-2021.pdf
27-09-2021,HON'BLE MR. JUSTICE A.S. BOPANNA,https://main.sci.gov.in/supremecourt/2019/3282/3282_2019_43_1502_30333_Judgement_27-Sep-2021.pdf
08-03-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2020/3283/3283_2020_36_1501_26738_Judgement_08-Mar-2021.pdf
07-09-2021,HON'BLE MR. JUSTICE HEMANT GUPTA,https://main.sci.gov.in/supremecourt/2018/3324/3324_2018_11_1501_29826_Judgement_07-Sep-2021.pdf
16-11-2021,HON'BLE MR. JUSTICE R. SUBHASH REDDY,https://main.sci.gov.in/supremecourt/2019/3338/3338_2019_12_1501_31338_Judgement_16-Nov-2021.pdf
16-11-2021,HON'BLE MR. JUSTICE R. SUBHASH REDDY,https://main.sci.gov.in/supremecourt_vernacular/2019/3338/3338_2019_12_1501_31338_Judgement_16-Nov-2021_GUJ.pdf
16-02-2021,HON'BLE MS. JUSTICE INDU MALHOTRA,https://main.sci.gov.in/supremecourt/2020/3456/3456_2020_43_1501_26196_Judgement_16-Feb-2021.pdf
23-07-2021,HON'BLE MR. JUSTICE M.R. SHAH,https://main.sci.gov.in/supremecourt/2019/3508/3508_2019_35_1502_28712_Judgement_23-Jul-2021.pdf
22-09-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/3598/3598_2021_4_1501_30219_Judgement_22-Sep-2021.pdf
09-09-2021,HON'BLE MR. JUSTICE L. NAGESWARA RAO,https://main.sci.gov.in/supremecourt/2019/3712/3712_2019_35_1501_29929_Judgement_09-Sep-2021.pdf
22-04-2021,HON'BLE MR. JUSTICE ANIRUDDHA BOSE,https://main.sci.gov.in/supremecourt/2010/3725/3725_2010_39_1501_27758_Judgement_22-Apr-2021.pdf
17-11-2021,HON'BLE MR. JUSTICE HEMANT GUPTA,https://main.sci.gov.in/supremecourt/2012/3741/3741_2012_11_101_31324_Judgement_17-Nov-2021.pdf
09-03-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2018/3762/3762_2018_31_1501_26812_Judgement_09-Mar-2021.pdf
23-03-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2017/3772/3772_2017_35_2_27227_Judgement_23-Mar-2021.pdf
17-02-2021,HON'BLE MR. JUSTICE MOHAN M. SHANTANAGOUDAR,https://main.sci.gov.in/supremecourt/2021/3869/3869_2021_40_6_26276_Judgement_17-Feb-2021.pdf
17-02-2021,HON'BLE MR. JUSTICE MOHAN M. SHANTANAGOUDAR,https://main.sci.gov.in/supremecourt_vernacular/2021/3869/3869_2021_40_6_26276_Judgement_17-Feb-2021_TAM.pdf
17-02-2021,HON'BLE MR. JUSTICE MOHAN M. SHANTANAGOUDAR,https://main.sci.gov.in/supremecourt_vernacular/2021/3869/3869_2021_40_6_26276_Judgement_17-Feb-2021_GUJ.pdf
19-03-2021,HON'BLE MS. JUSTICE INDIRA BANERJEE,https://main.sci.gov.in/supremecourt/2021/3894/3894_2021_40_24_27058_Judgement_19-Mar-2021.pdf
05-10-2021,HON'BLE MR. JUSTICE HEMANT GUPTA,https://main.sci.gov.in/supremecourt/2006/3919/3919_2006_11_1501_30613_Judgement_05-Oct-2021.pdf
06-08-2021,HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,https://main.sci.gov.in/supremecourt/2021/3947/3947_2021_32_1501_29084_Judgement_06-Aug-2021.pdf
08-12-2021,HON'BLE MR. JUSTICE VIKRAM NATH,https://main.sci.gov.in/supremecourt/2020/3983/3983_2020_4_1501_31898_Judgement_08-Dec-2021.pdf
08-12-2021,HON'BLE MR. JUSTICE VIKRAM NATH,https://main.sci.gov.in/supremecourt_vernacular/2020/3983/3983_2020_4_1501_31898_Judgement_08-Dec-2021_HIN.pdf
23-07-2021,HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,https://main.sci.gov.in/supremecourt/2018/3999/3999_2018_37_1502_28715_Judgement_23-Jul-2021.pdf
23-07-2021,HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,https://main.sci.gov.in/supremecourt_vernacular/2018/3999/3999_2018_37_1502_28715_Judgement_23-Jul-2021_HIN.pdf
08-12-2021,HON'BLE MR. JUSTICE AJAY RASTOGI,https://main.sci.gov.in/supremecourt/2019/4008/4008_2019_14_1501_32058_Judgement_08-Dec-2021.pdf
30-11-2021,HON'BLE MR. JUSTICE HEMANT GUPTA,https://main.sci.gov.in/supremecourt/2010/4109/4109_2010_11_1501_31713_Judgement_30-Nov-2021.pdf
23-03-2021,HON'BLE MR. JUSTICE HEMANT GUPTA,https://main.sci.gov.in/supremecourt/2020/4183/4183_2020_37_1501_27213_Judgement_23-Mar-2021.pdf
23-03-2021,HON'BLE MR. JUSTICE HEMANT GUPTA,https://main.sci.gov.in/supremecourt_vernacular/2020/4183/4183_2020_37_1501_27213_Judgement_23-Mar-2021_HIN.pdf
25-08-2021,HON'BLE MS. JUSTICE INDIRA BANERJEE,https://main.sci.gov.in/supremecourt/2021/4211/4211_2021_38_8_29538_Judgement_25-Aug-2021.pdf
26-11-2021,HON'BLE MR. JUSTICE HRISHIKESH ROY,https://main.sci.gov.in/supremecourt/2021/4277/4277_2021_42_1501_31591_Judgement_26-Nov-2021.pdf
04-10-2021,HON'BLE MR. JUSTICE M.R. SHAH,https://main.sci.gov.in/supremecourt/2020/4313/4313_2020_43_1502_30546_Judgement_04-Oct-2021.pdf
06-01-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2014/4352/4352_2014_31_11_25225_Judgement_06-Jan-2021.pdf
09-08-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/4370/4370_2021_35_1501_29116_Judgement_09-Aug-2021.pdf
29-10-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2009/4405/4405_2009_32_1501_30970_Judgement_29-Oct-2021.pdf
22-04-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/4492/4492_2021_34_1501_27756_Judgement_22-Apr-2021.pdf
10-08-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/4603/4603_2021_35_1501_29198_Judgement_10-Aug-2021.pdf
29-09-2021,HON'BLE MR. JUSTICE AJAY RASTOGI,https://main.sci.gov.in/supremecourt/2015/4758/4758_2015_14_1502_30471_Judgement_29-Sep-2021.pdf
29-09-2021,HON'BLE MR. JUSTICE AJAY RASTOGI,https://main.sci.gov.in/supremecourt_vernacular/2015/4758/4758_2015_14_1502_30471_Judgement_29-Sep-2021_HIN.pdf
12-05-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/4836/4836_2021_33_1502_28011_Judgement_12-May-2021.pdf
26-11-2021,HON'BLE MR. JUSTICE L. NAGESWARA RAO,https://main.sci.gov.in/supremecourt/2017/4912/4912_2017_35_1501_31583_Judgement_26-Nov-2021.pdf
08-04-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2019/4961/4961_2019_31_1503_27493_Judgement_08-Apr-2021.pdf
11-11-2021,HON'BLE MR. JUSTICE AJAY RASTOGI,https://main.sci.gov.in/supremecourt/2021/5013/5013_2021_14_1502_31099_Judgement_11-Nov-2021.pdf
11-11-2021,HON'BLE MR. JUSTICE AJAY RASTOGI,https://main.sci.gov.in/supremecourt_vernacular/2021/5013/5013_2021_14_1502_31099_Judgement_11-Nov-2021_HIN.pdf
27-04-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2020/5024/5024_2020_35_1501_27785_Judgement_27-Apr-2021.pdf
06-05-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2014/5034/5034_2014_35_1501_27915_Judgement_06-May-2021.pdf
24-02-2021,nan,https://main.sci.gov.in/supremecourt/2021/5066/5066_2021_32_11_26459_Order_24-Feb-2021.pdf
28-05-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2021/5071/5071_2021_31_1503_28042_Judgement_28-May-2021.pdf
01-10-2021,HON'BLE MR. JUSTICE R. SUBHASH REDDY,https://main.sci.gov.in/supremecourt/2019/5077/5077_2019_42_1501_30503_Judgement_01-Oct-2021.pdf
01-10-2021,HON'BLE MR. JUSTICE R. SUBHASH REDDY,https://main.sci.gov.in/supremecourt_vernacular/2019/5077/5077_2019_42_1501_30503_Judgement_01-Oct-2021_GUJ.pdf
17-08-2021,HON'BLE MR. JUSTICE ANIRUDDHA BOSE,https://main.sci.gov.in/supremecourt/2020/5107/5107_2020_1_1501_29345_Judgement_17-Aug-2021.pdf
17-12-2021,HON'BLE MR. JUSTICE A.S. BOPANNA,https://main.sci.gov.in/supremecourt/2020/5127/5127_2020_34_1503_32206_Judgement_17-Dec-2021.pdf
02-03-2021,HON'BLE MS. JUSTICE INDU MALHOTRA,https://main.sci.gov.in/supremecourt/2009/5140/5140_2009_12_101_26606_Judgement_02-Mar-2021.pdf
02-03-2021,HON'BLE MS. JUSTICE INDU MALHOTRA,https://main.sci.gov.in/supremecourt_vernacular/2009/5140/5140_2009_12_101_26606_Judgement_02-Mar-2021_MAL.pdf
11-12-2021,HON'BLE MR. JUSTICE M.R. SHAH,https://main.sci.gov.in/supremecourt/2020/5257/5257_2020_43_1501_32030_Judgement_11-Dec-2021.pdf
11-12-2021,HON'BLE MR. JUSTICE M.R. SHAH,https://main.sci.gov.in/supremecourt_vernacular/2020/5257/5257_2020_43_1501_32030_Judgement_11-Dec-2021_ORI.pdf
03-02-2021,HON'BLE MR. JUSTICE SURYA KANT,https://main.sci.gov.in/supremecourt/2010/5284/5284_2010_32_104_25802_Judgement_03-Feb-2021.pdf
05-01-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2007/5298/5298_2007_35_1501_25342_Judgement_05-Jan-2021.pdf
04-08-2021,HON'BLE MS. JUSTICE INDIRA BANERJEE,https://main.sci.gov.in/supremecourt/2020/5402/5402_2020_40_1501_29049_Judgement_04-Aug-2021.pdf
23-11-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2019/5439/5439_2019_2_1501_31522_Judgement_23-Nov-2021.pdf
18-11-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2014/5445/5445_2014_34_1501_31393_Judgement_18-Nov-2021.pdf
15-07-2021,HON'BLE MS. JUSTICE INDIRA BANERJEE,https://main.sci.gov.in/supremecourt/2021/5445/5445_2021_40_6_28442_Judgement_15-Jul-2021.pdf
08-01-2021,HON'BLE MR. JUSTICE ANIRUDDHA BOSE,https://main.sci.gov.in/supremecourt/2019/5654/5654_2019_32_1501_25270_Judgement_08-Jan-2021.pdf
09-03-2021,HON'BLE THE CHIEF JUSTICE,https://main.sci.gov.in/supremecourt/2019/5700/5700_2019_34_1501_26807_Judgement_09-Mar-2021.pdf
